2004.2.9|dli|09/02/2004
2004.2.11|dli|11/02/2004
2004.3.4|DLI|04/03/2004
2006.3.22|DLI|22/03/2006
2006.11.22|DLI|22/11/2006
2006.11.29|LANDGATE|29/11/2006
2006.11.30|LANDGATE|30/11/2006
2006.12.6|Landgate|06/12/2006
2006.12.7|Landgate|07/12/2006
2007.9.20|Landgate|20/09/2007
2007.10.16|Landgate|16/10/2007
2007.10.17|Landgate|17/10/2007
2007.10.18|Landgate|18/10/2007
2007.10.29|Landgate|29/10/2007
2007.10.30|Landgate|30/10/2007
