273|E|18|44|42|0.339|0.343|17.7|13.4|W|1013.65|Y|13.4||||
274|E|18|44|43|0.339|0.343|17.4|12.9|W|1013.5|Y|12.9||||
275|E|18|44|45|0.339|0.343|17.1|12.7|W|1013.5|Y|12.7||||
276|E|18|43|45|0.339|0.343|17|13.6|W|1013.55|Y|13.6||||
277|E|18|43|44|0.339|0.343|17|13.7|W|1013.7|Y|13.7||||
278|E|18|43|42|0.339|0.343|17|13.4|W|1013.7|Y|13.4||||
279|E|18|43|41|0.339|0.343|17.8|13.6|W|1013.5|Y|13.6||||
280|E|18|43|40|0.339|0.343|17|12.8|W|1013.4|Y|12.8||||
281|E|18|43|39|0.339|0.343|17|13.3|W|1013.1|Y|13.3||||
282|E|18|43|38|0.339|0.343|17.4|13.9|W|1012.95|Y|13.9||||
283|E|18|43|37|0.339|0.343|17.5|13.6|W|1013.2|Y|13.6||||
284|E|18|43|36|0.339|0.343|17.3|13.1|W|1013.375|Y|13.1||||
285|E|18|43|35|0.339|0.343|17.3|12.7|W|1012.75|Y|12.7||||
286|E|18|43|34|0.339|0.343|17|12.8|W|1012.85|Y|12.8||||
287|E|18|42|34|0.339|0.343|17.6|14.5|W|1012.85|Y|14.5||||
288|E|18|42|35|0.339|0.343|18.1|14.7|W|1013.15|Y|14.7||||
289|E|18|42|36|0.339|0.343|18|14.4|W|1013.15|Y|14.4||||
290|E|18|42|37|0.339|0.343|17|13|W|1012.625|Y|13||||
291|E|18|42|38|0.339|0.343|16.7|13|W|1013.05|Y|13||||
292|E|18|42|39|0.339|0.343|16.3|13.2|W|1013.15|Y|13.2||||
293|E|18|42|40|0.339|0.343|16.4|13.3|W|1013.1|Y|13.3||||
294|E|18|42|41|0.339|0.343|16.8|13.6|W|1013.075|Y|13.6||||
295|E|18|42|43|0.339|0.343|16.3|13|W|1012.975|Y|13||||
296|E|18|42|44|0.339|0.343|16.2|12.8|W|1012.9|Y|12.8||||
297|E|18|42|45|0.339|0.343|16.9|13|W|1013.5|Y|13||||
298|E|18|41|45|0.339|0.343|16.7|13.8|W|1013.5|Y|13.8||||
299|E|18|41|44|0.339|0.343|16.2|13.3|W|1013.6|Y|13.3||||
300|E|18|41|43|0.339|0.343|16.1|13.1|W|1013.8|Y|13.1||||
301|E|18|41|42|0.339|0.343|15.9|12.8|W|1013.8|Y|12.8||||
302|E|18|41|40|0.339|0.343|15.6|12.3|W|1013.6|Y|12.3||||
303|E|18|41|39|0.339|0.343|15.4|12.2|W|1013.55|Y|12.2||||
304|E|18|41|38|0.339|0.343|15.2|12.1|W|1013.7|Y|12.1||||
305|E|18|41|37|0.339|0.343|15.2|11.8|W|1013.8|Y|11.8||||
306|E|18|41|36|0.339|0.343|15.1|11.7|W|1013.8|Y|11.7||||
307|E|18|41|35|0.339|0.343|14.8|11.4|W|1013.85|Y|11.4||||
308|E|18|41|34|0.339|0.343|14.6|11.1|W|1013.65|Y|11.1||||
309|E|18|40|34|0.339|0.343|11.8|10.8|W|1016.3|Y|10.8||||
310|E|18|40|35|0.339|0.343|11.8|10.8|W|1016.45|Y|10.8||||
311|E|18|40|36|0.339|0.343|12.8|11.2|W|1016.15|Y|11.2||||
312|E|18|40|37|0.339|0.343|13|11.6|W|1016.5|Y|11.6||||
313|E|18|40|38|0.339|0.343|14.4|12|W|1016.4|Y|12||||
314|E|18|40|39|0.339|0.343|14.4|12|W|1016.25|Y|12||||
315|E|18|40|41|0.339|0.343|15|12.2|W|1016.55|Y|12.2||||
316|E|18|40|42|0.339|0.343|15.4|12.6|W|1016.45|Y|12.6||||
317|E|18|40|43|0.339|0.343|16.2|12.4|W|1016.6|Y|12.4||||
318|E|18|40|44|0.339|0.343|16.8|12.8|W|1016.55|Y|12.8||||
319|E|18|40|45|0.339|0.343|17|12.8|W|1016.4|Y|12.8||||
320|E|18|39|45|0.339|0.343|18.6|14.4|W|1016.2|Y|14.4||||
321|E|18|34|45|0.339|0.343|20.6|14.8|W|1011.2|Y|14.8||||
322|E|18|34|41|0.339|0.343|22.2|15|W|1011|Y|15||||
323|E|18|34|42|0.339|0.343|22.2|15.2|W|1011|Y|15.2||||
324|E|18|34|43|0.339|0.343|21.4|14.8|W|1011.1|Y|14.8||||
325|E|18|34|44|0.339|0.343|21|14.8|W|1011.2|Y|14.8||||
326|E|18|34|37|0.339|0.343|23.4|15|W|1011.35|Y|15||||
327|E|18|34|39|0.339|0.343|23|14.8|W|1010.9|Y|14.8||||
328|E|18|34|38|0.339|0.343|22.8|14.6|W|1011|Y|14.6||||
329|E|18|34|40|0.339|0.343|22.8|15|W|1010.9|Y|15||||
330|E|18|35|34|0.339|0.343|22.8|14.4|W|1011.15|Y|14.4||||
331|E|18|34|35|0.339|0.343|23.4|14.8|W|1011.3|Y|14.8||||
332|E|18|34|36|0.339|0.343|23.4|15|W|1011.35|Y|15||||
333|E|18|35|40|0.339|0.343|23.8|15|W|1011.45|Y|15||||
334|E|18|35|39|0.339|0.343|23.4|14.6|W|1011.3|Y|14.6||||
335|E|18|35|38|0.339|0.343|23.4|14.8|W|1011.25|Y|14.8||||
336|E|18|35|44|0.339|0.343|22.8|14.8|W|1011.95|Y|14.8||||
337|E|18|35|43|0.339|0.343|23.2|14.8|W|1011.7|Y|14.8||||
338|E|18|35|42|0.339|0.343|23.4|14.8|W|1011.45|Y|14.8||||
339|E|18|35|41|0.339|0.343|23.6|14.8|W|1011.45|Y|14.8||||
